,Unnamed: 0,Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency,Lat,Lng,Hour,Density
254,254,Assault - Simple,230708060,Domestic Violence,9/10/2023,2:57:00 PM,Street,"Hamilton Ave & Melrose Ave, Columbus, Oh 43224",Intersection,Columbus Division Of Police (Oh),40.024284,-82.977721,14,750.5363895812472
255,255,Motor Vehicle Theft,230707358,Motor Vehicle Theft - Generalist,9/10/2023,7:00:00 AM,Parking Lot,"22xx Homestead Dr, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.011322,-82.9758984,7,1026.0672447939007
256,256,Assault - Simple,01-23-005818,Assault,9/10/2023,4:10:00 AM,,"24xx Parkwood Av, Mifflin Twp, Oh 43219",Address,Franklin County Sheriff's Office,40.0194142,-82.956016,4,377.67896283748166
257,257,Assault - Simple,230713171,Domestic Violence,9/10/2023,2:25:00 AM,Single Family Home,"28xx Bremen St, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh),40.0315863,-82.9696202,2,469.8139349409836
258,258,Sexual Offense,230707766,Prowling,9/10/2023,2:00:00 AM,Multiple Dwelling,"1xx Chittenden Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9948248,-82.9953053,2,1042.0697350855405
259,259,Assault - Simple,230706827,Domestic Violence,9/10/2023,1:15:00 AM,Single Family Home,"29xx Cleveland Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh),40.0414902,-82.9607468,1,379.03739825682754
260,260,Assault - Simple,230706796,Domestic Violence,9/10/2023,12:58:00 AM,Street,"High Ave & Bolinger Street, Columbus, Oh 43215",Intersection,Columbus Division Of Police (Oh),39.9773447,-83.0029614,12,991.4940307817741
261,261,Assault - Simple,230706766,Domestic Violence,9/10/2023,12:42:00 AM,Single Family Home,"10xx Olmestead Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9884233,-82.9770475,12,1501.9528659135729
262,262,Alcohol Violation,230706770,Liquor Law Offense,9/10/2023,12:30:00 AM,Parking Lot,"11xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9940977,-83.0068864,12,2033.2298938228782
263,263,Burglary from Motor Vehicle,230706899,Theft - From Motor Vehicle - Petit - Ziu,9/10/2023,12:00:00 AM,Parking Lot,"Xx E 12th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.996278,-82.9866104,12,2180.9866760789387
264,264,All Other - Criminal,230706446,Menacing - Ziu,9/9/2023,10:30:00 PM,Single Family Home,"14xx Kohr Pl, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0129318,-82.9684385,22,1388.7328377242875
265,265,Traffic Incident,230706393,Traffic Arrest,9/9/2023,10:18:00 PM,Street,"E 5th St & Hamlet Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh),39.9869238,-83.00082859999999,22,973.0875941169005
266,266,Assault - Simple,230706371,Domestic Violence,9/9/2023,10:08:00 PM,Single Family Home,"16xx Weldon Ave, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh),40.0275954,-82.978892,22,1295.7840280154858
267,267,Assault - Aggravated,230706545,Felony Assault,9/9/2023,9:15:00 PM,Multiple Dwelling,"5xx Bolivar St, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh),39.9753951,-82.9748152,21,481.5818114713068
268,268,Assault - Simple,230706149,Domestic Violence,9/9/2023,8:56:00 PM,Single Family Home,"X Buttles Ave, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9774987,-83.011199,20,1100.360539827832
269,269,Burglary - Commercial,230706334,Burglary - Commercial,9/9/2023,8:15:00 PM,Multiple Dwelling,"1xx W Patterson Ave, Apt E Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0102352,-83.0126464,20,725.0826033942792
270,270,Vandalism,230707869,Damage To Property,9/9/2023,8:00:00 PM,Multiple Dwelling,"2xx E Oakland Ave, Apt A Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),40.0088267,-83.0032451,20,1085.8085173716233
271,271,Burglary - Commercial,230707223,Burglary - Commercial,9/9/2023,7:00:00 PM,Restaurant,"20xx N High St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9940977,-83.0068864,19,1065.0049937805786
272,272,Sexual Offense,230707576,Public Indecency,9/9/2023,6:15:00 PM,Clothing Store,"7xx N High St, Columbus, Oh 43215",Address,Columbus Division Of Police (Oh),39.9772408,-83.0035485,18,986.5267599071212
273,273,Assault - Simple,230705177,Domestic Violence,9/9/2023,4:44:00 PM,Single Family Home,"11xx Piedmnont, Columbus, Oh 43224",Address,Columbus Division Of Police (Oh),40.0339072,-82.9780488,16,577.5454437746937
274,274,Homicide / Manslaughter,230705296,Homicide,9/9/2023,3:56:00 PM,Single Family Home,"20xx Iuka Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),40.0047061,-83.0022502,15,679.2708340545097
275,275,Assault - Simple,230705117,Domestic Violence,9/9/2023,2:35:00 PM,Multiple Dwelling,"24xx N 4th St, Columbus, Oh 43202",Address,Columbus Division Of Police (Oh),40.0129247,-82.9978039,14,533.0811506635324
276,276,All Other - Criminal,230705065,Menacing - Ziu,9/9/2023,1:54:00 PM,Single Family Home,"11xx E 21st Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0041477,-82.9770252,13,853.8321844138388
277,277,Theft,233011330,Theft - Misdemeanor - Ziu,9/9/2023,1:00:00 PM,Multiple Dwelling,"Xx E 11th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9942296,-82.9945548,13,908.3176663932893
278,278,All Other - Criminal,230706574,Menacing - Ziu,9/9/2023,11:00:00 AM,Multiple Dwelling,"13xx Highland St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9859486,-83.010943,11,392.9769042190024
279,279,Burglary from Motor Vehicle,230704938,Theft - From Motor Vehicle - Petit - Ziu,9/9/2023,7:00:00 AM,Street,"20xx N 4th St, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh),39.9944071,-82.9990764,7,605.9032380133845
280,280,All Other - Non-Criminal,230704560,Missing Person,9/9/2023,6:00:00 AM,Multiple Dwelling,"4xx N Garfield Ave, Columbus, Oh 43203",Address,Columbus Division Of Police (Oh),39.9699224,-82.9799512,6,425.61174035367725
281,281,Assault - Simple,230703990,Domestic Violence,9/9/2023,2:42:00 AM,Multiple Dwelling,"2xx E 5th Ave, Columbus, Oh 43219",Address,Columbus Division Of Police (Oh),39.984986,-82.928032,2,370.22528241567966
282,282,Driving Under the Influence (DUI),202301376,353.01a Ovi Impaired,9/9/2023,2:29:00 AM,Street,"16xx W Lane Ave, Upper Arlington, Oh 43221",Address,Upper Arlington Police Department,40.0071931,-83.0535706,2,681.499592276931
283,283,Assault - Simple,23000738,Assault,9/9/2023,12:13:00 AM,,"18xx W 5th Ave, Columbus, Oh",Address,Grandview Heights Police Department,39.9885244,-83.0390016,12,1386.7679901416132
284,284,Assault - Simple,230703622,Domestic Violence,9/8/2023,11:30:00 PM,Single Family Home,"17xx Manchester Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh),40.0221687,-82.9739738,23,669.6653685088241
285,285,Motor Vehicle Theft,230703946,Motor Vehicle Theft - Generalist,9/8/2023,10:30:00 PM,Parking Lot,"W 4th St & N High Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh),39.9940977,-83.0068864,22,1348.5144506913812
