Class,Incident,Crime,Date,Time,Location Name,Address,Accuracy,Agency
Motor Vehicle Theft,230724829,Motor Vehicle Theft - Generalist,9/16/2023,1:00:00 PM,Street,"1xx E Norwich Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Assault - Simple,230723703,Domestic Violence,9/16/2023,12:23:00 PM,Parking Lot,"26xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230727384,Motor Vehicle Theft - Generalist,9/16/2023,5:00:00 AM,Parking Lot,"4xx E 14th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Traffic Incident,230722973,Traffic Arrest,9/16/2023,2:56:00 AM,Street,"W 11th St & N High Ave, Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Traffic Incident,230719814,Traffic Arrest,9/16/2023,1:19:00 AM,Street,"E 11th St & Kingry Ave, Columbus, Oh 43211",Intersection,Columbus Division Of Police (Oh)
Assault - Simple,230722786,Domestic Violence,9/16/2023,1:09:00 AM,Single Family Home,"15xx Duxberry Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Weapons Violation,230722770,Weapons Offense,9/16/2023,12:59:00 AM,Street,"E 5th & St Ave, Clair Columbus, Oh 43201",Intersection,Columbus Division Of Police (Oh)
Vandalism,230723960,Damage To Property,9/16/2023,12:00:00 AM,Yard,"17xx Cleveland Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230732583,Motor Vehicle Theft - Generalist,9/16/2023,12:00:00 AM,Street,"Xx E 13th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230723344,Theft - From Motor Vehicle - Petit - Ziu,9/15/2023,11:00:00 PM,Parking Lot,"16xx Clara Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary from Motor Vehicle,230723698,Theft - From Motor Vehicle - Petit - Ziu,9/15/2023,11:00:00 PM,Parking Lot,"17xx Clara St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Burglary - Residential,230723199,Burglary - Residential,9/15/2023,10:00:00 PM,Multiple Dwelling,"21xx Dresden St, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Motor Vehicle Theft,230723896,Motor Vehicle Theft - Generalist,9/15/2023,10:00:00 PM,Street,"12xx Sandlin Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
All Other - Criminal,230722229,Menacing - Ziu,9/15/2023,9:13:00 PM,Single Family Home,"15xx Republic Ave, Columbus, Oh 43211",Address,Columbus Division Of Police (Oh)
Weapons Violation,230722191,Weapons Offense,9/15/2023,9:05:00 PM,Street,"9xx E 5th Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
Theft,235006552,Theft - Mail,9/15/2023,7:15:00 PM,Multiple Dwelling,"3xx E Northwood Ave, Columbus, Oh 43201",Address,Columbus Division Of Police (Oh)
